#r-i 					  g-r 						i-z 
-2.103780487804874921e-01 -2.245991307495394940e-01 -1.323050891070291224e-01
-2.093780487804874912e-01 -2.230316445616941645e-01 -1.315986104074263752e-01
-2.083780487804874904e-01 -2.214641583738488628e-01 -1.308921317078236279e-01
-2.073780487804874895e-01 -2.198966721860035611e-01 -1.301856530082208530e-01
-2.063780487804874886e-01 -2.183291859981582594e-01 -1.294791743086181057e-01
-2.053780487804874877e-01 -2.167616998103129577e-01 -1.287726956090153585e-01
-2.043780487804874868e-01 -2.151942136224676561e-01 -1.280662169094125835e-01
-2.033780487804874859e-01 -2.136267274346223544e-01 -1.273597382098098363e-01
-2.023780487804874850e-01 -2.120592412467770249e-01 -1.266532595102070891e-01
-2.013780487804874841e-01 -2.105093586902076763e-01 -1.259467808106043418e-01
-2.003780487804874832e-01 -2.089701874194894726e-01 -1.252403021110015668e-01
-1.993780487804874824e-01 -2.074310161487712412e-01 -1.245338234113988196e-01
-1.983780487804874815e-01 -2.058918448780530097e-01 -1.238597046653561184e-01
-1.973780487804874806e-01 -2.043526736073348060e-01 -1.232015988462828587e-01
-1.963780487804874797e-01 -2.028135023366165746e-01 -1.225434930272096129e-01
-1.953780487804874788e-01 -2.012743310658983431e-01 -1.218853872081363532e-01
-1.943780487804874779e-01 -1.997351597951801117e-01 -1.212272813890630935e-01
-1.933780487804874770e-01 -1.981959885244619080e-01 -1.205691755699898476e-01
-1.923780487804874761e-01 -1.966568172537436765e-01 -1.199110697509165879e-01
-1.913780487804874753e-01 -1.951176459830254450e-01 -1.192529639318433282e-01
-1.903780487804874744e-01 -1.935784747123072136e-01 -1.185948581127700824e-01
-1.893780487804874735e-01 -1.920393034415890099e-01 -1.179367522936968227e-01
-1.883780487804874726e-01 -1.905001321708707784e-01 -1.172786464746235630e-01
-1.873780487804874717e-01 -1.889609609001525470e-01 -1.166205406555503171e-01
-1.863780487804874708e-01 -1.874217896294343433e-01 -1.159624348364770574e-01
